Link,Title,timeAgo,hasRequiredJob
item?id=31724950,AssemblyAI (YC S17) Is Hiring Senior Research Engineers,15 days ago,false
https://jobs.lever.co/buildzoom,BuildZoom (better way to build custom homes) Is hiring a Principal Engineer,16 days ago,false
https://onesignal.com/careers,OneSignal (YC S11) is hiring back end and full stack engineers,17 days ago,true
https://jobs.gohire.io/tara-ai-wyqbsv6l/growth-lead-inbound-92331/,Tara AI Is Hiring for a growth lead to handle inbound and SEO,17 days ago,false
https://deepnote.com/join-us,Deepnote (YC S19) is hiring to build a better data science notebook,17 days ago,false
https://flexport.com,Flexport (YC W14) is hiring engineers in Chicago,18 days ago,false
https://www.svix.com/careers/,The Svix Webhook Service (YC W21) Is Hiring (Remote),18 days ago,false
https://www.ycombinator.com/companies/medcrypt/jobs/DLp3OYm-medcrypt-yc-w19-embedded-software-development-engineer-135k,MedCrypt (YC W19) Is Hiring,19 days ago,false
item?id=31676449,Generally Intelligent (YC S17) Is Hiring Machine Learning Research Engineers,20 days ago,false
https://relationshiphero.com/careers?role=consultantCoach,Relationship Hero (YC S17) Is Hiring Consultant Coaches – Remote,20 days ago,false
https://jobs.lever.co/trycourier,Courier (YC S19) Is Hiring to Make Software-to-Human Communication Delightful,20 days ago,false
https://jobs.lever.co/tesorio/dcc1de3f-e6ac-4c02-97d0-78138c8138a5,Tesorio (YC S15) Is Hiring a Head of Infrastructure and Platform,21 days ago,false
item?id=31657187,Meticulous (YC S21) Is Hiring #3 Founding Engineer in London,21 days ago,false
https://www.centaurlabs.com/open-positions?gh_jid=4156173004,Centaur Labs (YC W19) Is Hiring a React Engineer in Boston/Remote,21 days ago,true
https://www.ycombinator.com/companies/simplehash/jobs/ID7qnlS-senior-backend-api-engineer,SimpleHash (YC W22) Is Hiring Back End Engineers to Build NFT APIs,22 days ago,false
http://kable.io/,Kable (usage-based billing for APIs) is hiring Founding Engineers (YC W22),22 days ago,false
https://www.dover.com/open-roles/software-engineer,Dover.com (YC S19) is hiring senior engineers,23 days ago,false
https://www.ycombinator.com/companies/emerge-tools/jobs/JWtyqvs-senior-android-engineer,Emerge Tools (YC W21) is hiring a senior Android engineer,23 days ago,false
https://www.themuse.com/jobs/themuse/senior-software-engineer,The Muse (YC W12) Is Hiring a Senior Software Engineer,23 days ago,false
https://apply.workable.com/stackerhq/j/FAC2417239/,Stacker (YC S20) Is Hiring a Head of Engineering,23 days ago,false
https://jobs.ashbyhq.com/freshpaint/bfe56523-bff4-4ca3-936b-0ba15fb4e572,Freshpaint (YC S19) is hiring engineers to build real-time data ingestion infra,24 days ago,false
https://www.workatastartup.com/companies/basis-2,Basis (YC S21) Is hiring devs to help build Figma for data,24 days ago,false
https://skio.com/careers/,"Skio (subscriptions for Shopify, easy ReCharge migrations) is hiring in NYC",25 days ago,false
https://jobs.lever.co/smarking/01b7a4c5-28ce-4a4c-9c88-d4cad6c01c76,Smarking (YC W15) Is Hiring Senior ML/Data Eng to Scale Dynamic Pricing for Parking,25 days ago,false
https://www.pachyderm.com/careers/#positions,Pachyderm Is Hiring React Engineers to Build Reproducible Data-Centric Pipelines,25 days ago,true
https://www.ycombinator.com/companies/terra/jobs/NGbGJeN-founder-associate,Terra (YC W21) Is Hiring for a Founder Associate in London,25 days ago,false
https://www.aptible.com/careers/,"Aptible (YC S14) is hiring for our secure, compliant PaaS alternative to Heroku",26 days ago,false
https://jobs.lever.co/goalbookapp-2/0b735c81-09d8-401a-94e8-150728c3ec7b,Goalbook (YC IK12) is hiring senior engineers to impact special education,26 days ago,false
https://bristle.notion.site/Careers-Bristle-f7a66759282a4a1195cbafdce00a8722,Bristle (YC W21) Is hiring to analyze the oral microbiome and prevent disease,26 days ago,false
https://www.ycombinator.com/companies/wasmer/jobs/l6oF505-backend-developer,Wasmer (YC S19) Is Hiring a Python Master with DevOps expertise,26 days ago,false
https://padlet.jobs,Padlet (YC W13) is hiring in Singapore to build software for a good education,27 days ago,false
item?id=31585107,Finley (YC W21) is hiring fintech software engineers (US remote),27 days ago,false
https://jobs.lever.co/photoroom/ac3a361b-aa5e-479d-95d6-434d73e6eb33?lever-origin=applied&lever-source%5B%5D=Ycombinator,"PhotoRoom Is Hiring a Senior Web Developer (WebAssembly, WebGL and React) in Paris",27 days ago,true
https://jobs.lever.co/jitxinc/485b853e-acd6-4073-b840-2929f210e9d7,Jitx (YC S18) is hiring a senior optimization scientist,29 days ago,false
item?id=31558533,AssemblyAI (YC S17) is hiring senior engineers to build ML systems at scale,29 days ago,false
https://raycast.com/jobs/developer-advocate/,"Raycast (YC W20) Is Hiring First Developer Advocate (Remote, UTC ± 3h)",29 days ago,false
